images,labels,split
A1l/Aal066.jpg,0,train
NIL/Nil080.jpg,1,test
FAL/Fal024.jpg,0,test
Fhl/Fhl098.jpg,0,test
NHL/Nhl009.jpg,1,train
Gal/Gal062.jpg,0,train
Ael/Ael498.jpg,1,test
FCL/Fcl032.jpg,0,test
A2l/Abl175.jpg,0,test
NIL/Nil021.jpg,0,validation
NBL/Nbl060.jpg,1,train
NBL/Nbl006.jpg,1,test
NIL/Nil078.jpg,1,validation
A2l/Abl189.jpg,0,train
NAL/Nal044.jpg,1,train
NIL/Nil004.jpg,0,test
NFL/nfl072.jpg,1,test
A3l/Acl243.jpg,0,train
A1l/Aal086.jpg,0,train
Ggl/Ggl036.jpg,1,validation
Adl/Adl305.jpg,1,test
Ael/Ael442.jpg,0,test
New/newl045.jpg,1,train
NBL/Nbl046.jpg,1,train
NGL/Ngl017.jpg,1,validation
NCL/Ncl064.jpg,0,train
Fll/Fll118.jpg,1,test
Gal/Gal047.jpg,0,train
FCL/Fcl016.jpg,1,train
Fhl/Fhl084.jpg,0,train
FDL/Fdl014.jpg,1,validation
Fgl/Fgl036.jpg,0,train
Ael/Ael498.jpg,1,test
Gal/Gal262.jpg,1,validation
NBL/NBL041.JPG,1,validation
FBL/Fbl064.jpg,0,test
FBL/FBL046.JPG,1,train
Adl/Adl362.jpg,0,test
FBL/Fbl030.jpg,0,test
Fhl/Fhl070.jpg,0,train
FFL/Ffl080.jpg,1,train
NML/Nml008.jpg,0,test
NGL/Ngl013.jpg,1,train
NBL/Nbl015.jpg,1,train
FAL/Fal078.jpg,1,train
NML/Nml008.jpg,0,test
FDL/Fdl002.jpg,0,test
NIL/Nil052.jpg,0,train
FBL/Fbl098.jpg,0,test
NBL/Nbl030.jpg,1,train
Ggl/Ggl050.jpg,1,test
NML/Nml049.jpg,0,test
FEL/Fel096.jpg,0,test
Ggl/Ggl078.jpg,0,test
NLL/Nll060.jpg,0,train
Adl/Adl399.jpg,0,train
FBL/Fbl030.jpg,0,test
NLL/Nll076.jpg,0,test
Fll/Fll047.jpg,1,validation
FBL/FBL046.JPG,1,train
Gcl/Gcl094.jpg,1,test
NBL/Nbl046.jpg,1,train
Gdl/Gdl037.jpg,1,test
Adl/Adl366.jpg,0,train
NGL/NGL010.JPG,1,train
Ael/Ael494.jpg,1,train
A2l/Abl135.jpg,0,train
FCL/Fcl030.jpg,0,test
NML/NML032.JPG,0,train
Gal/Gal039.jpg,1,validation
FAL/Fal020.jpg,0,train
A2l/Abl145.jpg,0,test
Ael/Ael492.jpg,1,train
A3l/Acl221.jpg,0,test
NBL/NBL049.JPG,1,validation
Gal/Gal058.jpg,0,train
NGL/Ngl062.jpg,1,test
NCL/Ncl063.jpg,0,test
NIL/Nil064.jpg,1,validation
FBL/Fbl074.jpg,0,test
NBL/Nbl025.jpg,1,test
Adl/Adl333.jpg,0,train
FEL/Fel084.jpg,0,train
Ael/Ael465.jpg,0,test
FEL/Fel080.jpg,0,test
NIL/Nil080.jpg,1,test
A2l/Abl108.jpg,0,train
FBL/Fbl010.jpg,0,train
FCL/Fcl038.jpg,0,train
NGL/Ngl094.jpg,0,train
FBL/Fbl098.jpg,0,test
FEL/Fel002.jpg,0,validation
Fml/Fml020.jpg,0,test
Adl/Adl340.jpg,0,test
NBL/Nbl028.jpg,1,validation
Gzl/gzl04.jpg,1,test
NAL/Nal086.jpg,1,train
Ggl/Ggl076.jpg,0,train
Gzl/gzl04.jpg,1,test
FDL/FDL022.JPG,0,validation
NDL/Ndl039.jpg,0,test
NAL/Nal077.jpg,1,train
Ael/Ael523.jpg,0,test
FBL/FBL020.JPG,1,validation
NGL/Ngl068.jpg,1,train
Gzl/gzl50.jpg,1,test
FBL/FBL032.JPG,0,train
Fll/Fll071.jpg,1,test
FCL/Fcl094.jpg,0,train
NCL/Ncl010.jpg,0,train
Gal/Gal191.jpg,0,test
NBL/Nbl074.jpg,1,train
New/newl055.jpg,1,train
NAL/Nal037.jpg,1,test
Gdl/Gdl023.jpg,1,test
Fgl/Fgl005.jpg,0,train
Fil/Fil008.jpg,1,test
NAL/Nal058.jpg,1,train
NBL/Nbl004.jpg,1,validation
New/newl036.jpg,1,validation
NDL/Ndl012.jpg,0,test
FAL/FAL044.JPG,0,test
NBL/Nbl059.jpg,1,test
New/newl030.jpg,0,train
Ggl/Ggl052.jpg,0,test
Gal/Gal033.jpg,0,test
A3l/Acl207.jpg,0,validation
FBL/FBL062.JPG,0,train
NML/Nml089.jpg,0,train
NGL/Ngl017.jpg,1,validation
NGL/Ngl100.jpg,1,train
FBL/FBL012.JPG,0,train
A3l/Acl271.jpg,0,train
Ggl/Ggl036.jpg,1,validation
Fll/Fll047.jpg,1,validation
Fil/Fil052.jpg,1,validation
Gal/Gal062.jpg,0,train
Gal/Gal209.jpg,1,train
A3l/Acl251.jpg,0,validation
Gcl/Gcl039.jpg,1,test
Fil/Fil052.jpg,1,validation
Adl/Adl358.jpg,0,test
FBL/Fbl050.jpg,1,test
NLL/Nll100.jpg,0,train
FBL/FBL032.JPG,0,train
FBL/Fbl082.jpg,1,test
NML/Nml065.jpg,0,train
NDL/NDL063.JPG,0,test
Gcl/Gcl073.jpg,0,train
FDL/FDL026.JPG,0,train
NCL/Ncl064.jpg,0,train
NGL/Ngl013.jpg,1,train
NAL/Nal005.jpg,1,test
Adl/Adl305.jpg,1,test
A1l/Aal008.jpg,0,test
FCL/Fcl026.jpg,1,train
Fhl/Fhl074.jpg,0,train
FEL/Fel096.jpg,0,test
Gdl/Gdl100.jpg,0,test
New/newl043.jpg,1,train
Adl/Adl366.jpg,0,train
FBL/Fbl050.jpg,1,test
Adl/Adl377.jpg,0,test
Fgl/Fgl055.jpg,0,train
Gal/Gal262.jpg,1,validation
FBL/Fbl028.jpg,1,test
A2l/Abl153.jpg,0,train
Ggl/Ggl076.jpg,0,train
NGL/NGL025.JPG,1,validation
NDL/Ndl012.jpg,0,test
FBL/Fbl028.jpg,1,test
NDL/Ndl068.jpg,0,validation
NBL/Nbl048.jpg,1,test
FCL/Fcl044.jpg,1,train
NAL/Nal086.jpg,1,train
Adl/Adl371.jpg,0,test
Gcl/Gcl039.jpg,1,test
A1l/Aal094.jpg,0,test
NAL/Nal097.jpg,1,validation
FEL/Fel070.jpg,0,train
Gdl/Gdl025.jpg,1,validation
Fhl/Fhl064.jpg,0,test
Fgl/Fgl018.jpg,1,test
FCL/FCL084.JPG,1,train
NAL/Nal033.jpg,1,train
Fhl/Fhl092.jpg,0,test
FAL/Fal064.jpg,0,validation
FEL/Fel092.jpg,0,validation
A3l/Acl235.jpg,0,test
Fll/Fll132.jpg,1,test
NGL/Ngl041.jpg,1,validation
NBL/Nbl007.jpg,1,validation
Ggl/Ggl036.jpg,1,validation
Ael/Ael523.jpg,0,test
New/newl059.jpg,1,train
NML/Nml089.jpg,0,train
A1l/Aal002.jpg,1,test
NBL/Nbl044.jpg,1,train
NGL/Ngl057.jpg,1,test
Ael/Ael496.jpg,1,train
A2l/Abl141.jpg,0,train
NIL/Nil004.jpg,0,test
Ael/Ael514.jpg,1,test
NML/Nml039.jpg,0,validation
FAL/FAL054.JPG,0,train
NBL/Nbl022.jpg,1,validation
NDL/Ndl081.jpg,0,test
FEL/Fel082.jpg,0,train
NBL/Nbl028.jpg,1,validation
Gal/Gal006.jpg,0,train
NIL/Nil052.jpg,0,train
Fgl/Fgl044.jpg,1,test
NFL/Nfl074.jpg,0,train
NBL/Nbl095.jpg,0,validation
Fgl/Fgl002.jpg,0,validation
NML/Nml051.jpg,0,validation
Fgl/Fgl082.jpg,1,test
NGL/Ngl057.jpg,1,test
NBL/Nbl031.jpg,1,test
NIL/Nil068.jpg,1,train
FFL/Ffl016.jpg,0,validation
NBL/NBL041.JPG,1,validation
FDL/Fdl056.jpg,1,train
FBL/Fbl004.jpg,0,test
FBL/Fbl094.jpg,0,train
FCL/Fcl028.jpg,0,test
A1l/Aal062.jpg,0,test
NGL/Ngl043.jpg,0,test
Fgl/Fgl014.jpg,0,train
FCL/Fcl092.jpg,1,train
Fgl/Fgl051.jpg,0,test
NLL/Nll069.jpg,0,train
NML/Nml089.jpg,0,train
NGL/Ngl017.jpg,1,validation
NFL/nfl070.jpg,1,validation
Ael/Ael496.jpg,1,train
FBL/FBL042.JPG,0,train
NCL/Ncl012.jpg,0,train
Fgl/Fgl005.jpg,0,train
FAL/FAL094.JPG,1,train
NGL/Ngl068.jpg,1,train
NGL/Ngl053.jpg,0,train
Ael/Ael435.jpg,0,train
NML/Nml024.jpg,1,test
A3l/Acl281.jpg,0,validation
NFL/Nfl063.jpg,1,train
NHL/Nhl015.jpg,0,test
Fhl/Fhl038.jpg,0,train
NIL/Nil076.jpg,1,test
NLL/Nll102.jpg,0,train
